SL.   Gradients Vector from CNN--------------Gradients Vector from FiniteDifferencing
111.     5.28471391948464E-6                          5.508926648190027E-6,  
112.     -9.586293806699648E-7                          -6.061817714453355E-7,  
113.     1.2057910973359046E-5                          1.2279066652354231E-5,  
114.     -7.964621676881302E-6                          -7.80042697101635E-6,  
115.     -9.684566100711966E-6                          -9.281464485866309E-6,  
116.     -2.6818156919595436E-6                          -2.3425705819590803E-6,  
117.     7.332976960494193E-6                          7.593925488436071E-6,  
118.     1.8725275355490505E-6                          1.98729921407903E-6,  
119.     5.2612320411988674E-6                          5.482281295599023E-6,  
120.     1.3786254104965852E-5                          1.4290790772975015E-5,  
121.     1.3701777519851144E-5                          1.4213075161251254E-5,  
122.     2.92856734218212E-6                          2.9820590441431705E-6,  
123.     -1.0974609747062957E-5                          -1.071365218763276E-5,  
124.     -3.08400084127666E-6                          -2.9953817204386723E-6,  
125.     -1.5831395082056343E-6                          -1.3877787807814457E-6,  
126.     -5.426786948306957E-6                          -5.1025850211772195E-6,  
127.     1.0889863937114404E-5                          1.1333156635373598E-5,  
128.     1.1400325053784051E-5                          1.1615153283628388E-5,  
129.     1.2891216907706696E-5                          1.3411494137471891E-5,  
130.     1.0021929489216182E-5                          1.0302869668521453E-5,  
131.     1.4082093996999166E-5                          1.4344081478157023E-5,  
132.     -1.0989002051937775E-5                          -1.0667022820598504E-5,  
133.     -8.557543807818698E-6                          -8.23119350457091E-6,  
134.     -6.411893042929829E-7                          -5.639932965095795E-7,  
135.     -1.6285115439543357E-6                          -1.3766765505351941E-6,  
136.     -2.909419487186818E-6                          -2.5845992013273644E-6,  
137.     1.5646565424189022E-5                          1.6064927166326015E-5,  
138.     3.0838439904841366E-6                          3.3173463975799677E-6,  
139.     4.3529899085607823E-7                          7.061018436615996E-7,  
140.     1.3194621664312035E-6                          1.3433698597964394E-6,  
141.     0.0                          0.0,  
142.     1.0925282588372612E-5                          7.50131068372184E-4,  
143.     3.3495552556297176E-5                          3.354205801997523E-5,  
144.     7.336749152110513E-6                          7.316369732279782E-6,  
145.     1.3349900623936337E-5                          1.3462564396604648E-5,  
146.     2.1945808300952393E-5                          2.1884716261411086E-5,  
